date,weekly_trend,sentiment_score,implied_move,vix,vix_delta,futures_gap,spx,bias
5/27/2025 18:05,-1,15,0.29,19.18,-0.13952445,89.73999999999978,5920.5,Bullish
5/28/2025 13:17,-1,21,0,19.01,-0.147151189,137.1800000000003,5921.54,Bullish
5/28/2025 18:00,-1,28,0.46,18.99,-0.07681089,118.93000000000029,5909.08,Bullish
5/28/2025 13:29,-1,28,0.43,18.75,-0.088478367,120.93000000000029,5910.61,Bullish
5/29/2025 8:16,-1,36,0,19.16,-0.068546427,27.460000000000036,5888.55,Bullish
5/29/2025 11:41,-1,15,0.52,19.31,0.01845991561181423,-6.54,5905.3,Bullish
6/2/2025 8:36,1,4.333333333333333,0,19.01,-0.015535992,-15.67,5903.38,Bullish
6/2/2025 11:32,1,3.6,0.4,18.99,-0.009906152,5.829999999999927,5905.09,Bearish
2025-06-02 15:07:41,1,6.136363636363637,0.2,18.43,-0.03910323253388947,29.329999999999927,5938.61,Bearish
2025-06-03 08:14:01,1,6.5,0.0,18.41,-0.04014598540145983,26.0600000000004,5935.94,Bearish
